Gene	control.Rep1	control.Rep2	control.Rep3	control.Rep4	heat.Rep1	heat.Rep2	heat.Rep3	heat.Rep4	drought.Rep1	drought.Rep2	drought.Rep3	drought.Rep4
AT2G46840	-3.460701	-3.0174546	-2.7942276	-2.8672295	0.1674447	0.25424194	0	0.09891415	-3.0214806	-4.4117985	-3.0465832	-3.840767
AT3G08970	-2.2012024	-1.6524372	-1.7074671	-1.5511155	0.58160114	0	-0.48962498	-1.1262078	-1.4616508	-1.4554682	-1.7124329	-1.144093
AT3G50930	-1.048399	-2.1889544	-2.5381937	-1.9222059	1.4812059	1.1304932	1.880127	1.0028048	-0.8157196	-1.182867	0.15685177	-1.0664697
AT3G49320	-3.1982484	-2.717698	-2.5402603	-2.7390842	0	0.124892235	0.17725658	0.18036747	-3.357504	-3.2920256	-2.8310385	-2.7633548
AT5G16200	-1.2284012	-1.4606962	-1.4320154	-1.206707	1.722127	1.2144632	1.522645	0.63521194	-0.5707674	-0.90329456	0.12631989	-0.9779396
AT3G20180	-2.52838	-3.837779	-3.293725	-0.7502141	0.27322102	0.26165152	0.001019955	0	-2.0608563	-2.7264404	-2.517806	-2.1161714
AT1G45616	-3.1733131	-2.7479334	-2.5099864	-2.5405817	0	0.35572815	0.4437709	0.06824732	-2.4569778	-1.9443798	-1.9574575	-2.5004888
AT3G55980	-0.69121265	-1.8138971	-1.5929337	-0.79288006	2.6537762	2.1884108	2.6773405	1.9783449	-0.08235836	-0.42861748	1.1468	0
AT4G27280	-0.27680492	-2.6486378	-1.7773399	-0.9612503	1.3190708	1.0800762	1.7717714	0.19111061	0.567729	0.11472893	1.3108101	0.5053406
AT5G63130	-0.6160946	-1.397573	-1.3888302	-1.2206473	1.7016177	1.2739854	1.9471927	0.72741556	-0.924757	-1.6134062	0.048478127	-0.5915394
AT5G47500	-2.6750793	-2.371293	-2.6226187	-2.4469948	0.40084553	0.2852316	0.19151592	0.40683174	-3.0150795	-2.477583	-2.6260042	-2.30478
AT5G52570	-2.7398758	-2.5170164	-2.103835	-2.6378112	0.35124207	0.43973255	0.28950977	0.44384766	-1.7972088	-2.2794642	-2.6370258	-2.159647
AT2G07707	-2.8501348	-3.1121273	-2.9561453	-2.9279985	0	0.11003494	0.28470516	0.33829403	-3.072277	-2.992549	-2.5996475	-2.950632
AT2G07722	-3.2543497	-2.6586876	-2.9177938	-1.3236303	0.5923643	0.41730022	0.20060825	0	-3.1145296	-2.8960404	-2.6450157	-3.4578247
AT5G52390	-3.1089454	-3.1366158	-2.9623008	-2.1100016	0.9546442	0.9346752	0.63096	1.1769266	-3.3795733	-2.0700207	2.0258884	-3.9003844
AT1G65890	-1.534163	-2.4592175	-2.202681	-2.6327167	0.42919493	0	0.52941513	0.84974194	-0.031922817	-0.44474697	-1.1356583	-0.58972025
AT5G62020	-0.49811745	-1.0948839	-0.912303	-0.63760567	1.2564621	0.3101015	0.23022842	-1.7259865	-0.3232689	-0.76778126	0.08589363	-0.049394608
AT1G05340	-1.5679255	-3.4466867	-1.6711068	-1.7714572	-0.37148905	-0.21625996	0.5035968	0.6273923	-1.6046844	-2.0380101	-1.0190921	0.2012434
AT3G53980	-1.8604045	-1.9466558	-1.1949897	-1.519279	-2.4746175	-2.3566394	-2.1091757	-2.1663828	0.9696169	1.0789108	1.3525648	1.3405809
